"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","588","deve passar nas verificações de acessibilidade (a11y)","Portfólio de Joelma Ferreira - Testes de UI","Fri Jul 18 23:09:06 BRT 2025","passed","Fri Jul 18 23:09:07 BRT 2025","","Testes de UI - Desktop","",""
"","2110","deve exibir mensagem de sucesso ao preencher o formulário corretamente","Portfólio de Joelma Ferreira - Testes de UI","Fri Jul 18 23:09:10 BRT 2025","passed","Fri Jul 18 23:09:12 BRT 2025","","Testes de UI - Desktop","",""
"","1395","deve exibir mensagem de erro para e-mail inválido","Portfólio de Joelma Ferreira - Testes de UI","Fri Jul 18 23:09:09 BRT 2025","passed","Fri Jul 18 23:09:10 BRT 2025","","Testes de UI - Desktop","",""
"","315","deve exibir mensagem de erro para campos obrigatórios","Portfólio de Joelma Ferreira - Testes de UI","Fri Jul 18 23:09:09 BRT 2025","passed","Fri Jul 18 23:09:09 BRT 2025","","Testes de UI - Desktop","",""
"","895","deve navegar para a seção ""Portfólio"" ao clicar no link do menu","Portfólio de Joelma Ferreira - Testes de UI","Fri Jul 18 23:09:05 BRT 2025","passed","Fri Jul 18 23:09:05 BRT 2025","","Testes de UI - Desktop","",""
"","358","deve alternar entre modo claro e escuro","Portfólio de Joelma Ferreira - Testes de UI","Fri Jul 18 23:09:06 BRT 2025","passed","Fri Jul 18 23:09:06 BRT 2025","","Testes de UI - Desktop","",""
"","336","deve exibir o menu hambúrguer e abrir a navegação móvel ao ser clicado","","Fri Jul 18 23:09:13 BRT 2025","passed","Fri Jul 18 23:09:13 BRT 2025","","Testes de UI - Responsividade Mobile","",""
"","316","deve alternar o idioma da página corretamente","Portfólio de Joelma Ferreira - Testes de UI","Fri Jul 18 23:09:06 BRT 2025","passed","Fri Jul 18 23:09:06 BRT 2025","","Testes de UI - Desktop","",""
"","807","deve exibir o projeto ""Estante de Livros"" com detalhes e link corretos","Portfólio de Joelma Ferreira - Testes de UI","Fri Jul 18 23:09:07 BRT 2025","passed","Fri Jul 18 23:09:08 BRT 2025","","Testes de UI - Desktop","",""
"","687","deve exibir o projeto ""Mario Jump"" com detalhes e link corretos","Portfólio de Joelma Ferreira - Testes de UI","Fri Jul 18 23:09:08 BRT 2025","passed","Fri Jul 18 23:09:09 BRT 2025","","Testes de UI - Desktop","",""
